user_id,behavior_1_total,behavior_2_total,behavior_3_total,behavior_4_total,behavior_1_bought_itm_avrg,behavior_2_bought_itm_avrg,behavior_3_bought_itm_avrg,behavior_1_unbought_itm_avrg,behavior_2_unbought_itm_avrg,behavior_3_unbought_itm_avrg,behavior_1_bought_catg_avrg,behavior_2_bought_catg_avrg,behavior_3_bought_catg_avrg,behavior_1_unbought_catg_avrg,behavior_2_unbought_catg_avrg,behavior_3_unbought_catg_avrg,behavior_1_similar_avrg,behavior_2_similar_avrg,behavior_3_similar_avrg,cycle_bought_itm_avrg,cycle_unbought_itm_avrg
360451,186.0,0.0,0.0,4.0,6.0,0.0,0.0,1.88,0.0,0.0,13.0,0.0,0.0,5.154,0.0,0.0,2.354,2.354,2.354,1.5,1.217
115965957,3454.0,63.0,30.0,15.0,14.533,0.533,0.733,4.135,0.076,0.022,57.4,1.4,1.2,22.101,0.405,0.127,3.665,3.665,3.665,4.667,2.413
51544071,1196.0,0.0,13.0,12.0,5.5,0.0,0.8,2.198,0.0,0.01,18.125,0.0,1.5,7.634,0.0,0.007,2.228,2.228,2.228,3.5,1.287
67469321,4006.0,1.0,203.0,34.0,6.576,0.0,1.455,2.472,0.001,0.104,50.154,0.038,3.769,17.44,0.0,0.716,2.539,2.539,2.539,1.576,1.606
131039248,456.0,0.0,4.0,18.0,3.611,0.0,0.0,1.721,0.0,0.018,11.571,0.0,0.0,4.459,0.0,0.066,1.334,1.334,1.334,1.333,1.128
68113752,874.0,0.0,1.0,8.0,7.625,0.0,0.125,2.19,0.0,0.0,37.0,0.0,0.143,6.12,0.0,0.0,2.04,2.04,2.04,1.0,1.082
82804754,1922.0,5.0,30.0,7.0,6.143,0.0,0.714,2.605,0.007,0.035,55.667,0.167,1.0,10.331,0.026,0.159,3.216,3.216,3.216,1.0,1.587
76327598,1671.0,13.0,41.0,11.0,8.5,0.0,1.7,2.496,0.021,0.038,51.444,0.333,3.111,12.114,0.102,0.125,2.822,2.822,2.822,1.5,1.289
66322454,675.0,0.0,14.0,1.0,7.0,0.0,0.0,2.412,0.0,0.051,36.0,0.0,0.0,9.831,0.0,0.215,2.636,2.636,2.636,1.0,1.332
140705815,214.0,2.0,16.0,9.0,8.111,0.111,0.667,2.268,0.018,0.179,13.0,0.125,0.875,4.333,0.048,0.429,1.889,1.889,1.889,1.667,1.125
45416453,424.0,0.0,24.0,5.0,10.4,0.0,0.6,3.336,0.0,0.191,32.5,0.0,2.5,4.61,0.0,0.146,3.857,3.857,3.857,3.6,1.618
84934689,618.0,0.0,59.0,9.0,4.556,0.0,1.222,2.025,0.0,0.17,14.0,0.0,2.5,9.545,0.0,0.8,2.764,2.764,2.764,2.889,1.27
