category,item
12630,125666923
12304,36351033
6164,312916299
24,250847704
8218,25893999
4128,382832385
11952,157582981
2085,110291751
12326,155028534
11799,398252106
8234,31477592
10290,173192704
8243,99779448
56,55939918
10297,76293715
8254,167074648
8261,300715490
10310,37185854
2122,111161394
8270,299941043
12367,370171314
6225,236372633
12370,402456501
12375,236836228
94,32023428
98,126872851
6247,250537470
2158,125276567
2159,40617575
13672,251303203
2163,176117601
10356,403851838
12407,330719075
10364,171686678
6272,91279966
4228,83858984
4230,104604294
8327,238714199
6168,262844307
4245,22785878
150,385466119
8344,360010027
6304,254155188
2218,65734338
10412,255576662
2225,161753864
8376,290628548
4282,314678054
10431,123339153
8385,316900792
8387,16148322
198,174440843
4129,306884133
11639,288581750
2252,157984068
8405,216940035
9593,70783670
10456,371810080
10460,3769623
6367,199568383
10464,108407944
10467,279502027
12517,298450551
4327,148165651
6376,74489562
2284,70667811
8431,228894075
2288,146335956
6391,366101395
12536,136631649
12538,198037430
8444,259159059
10501,170967256
10502,121534212
4359,78158459
12553,335309109
11236,42372916
6417,13017276
8468,176347681
279,186163395
280,65347713
12570,211151290
8476,154121024
6874,14329747
2334,88335584
290,145199582
8491,170974968
2348,194587008
10542,50754310
8495,279966091
10544,11881954
8501,8454883
6456,375948769
8513,84797306
8587,319890565
332,17868801
4431,345899115
10576,351069490
6481,178196529
10582,132690080
5126,173378542
8552,248634684
362,112307439
4172,218012473
8561,203816284
12659,337616433
4468,228470273
10616,253080700
6890,315164496
6526,391267330
6534,252246241
2443,42295649
10637,278243696
12688,304554880
10641,308384412
8595,224448128
8605,120831354
4510,95112195
4165,124241182
6562,320593836
10662,14136232
8615,2629383
4533,261603937
438,300991619
6588,122746649
8646,17352004
4559,255939404
6608,219115841
4561,159271456
8661,274376784
12758,338112002
4567,252630074
12760,61697655
12761,214775732
6630,255340769
6631,347495727
6632,240816864
4588,44353160
8685,370854864
10734,306931036
10735,242664928
6643,80750275
12791,73378676
6648,321886986
8698,76473339
12801,264449955
6658,37394536
8710,83794623
2568,342961952
8678,309873210
12816,172500356
4627,333717719
8724,357495173
12823,49282121
4869,164663136
544,115806960
4641,299537365
8744,390181058
6700,27796619
10798,300930741
4068,84773745
12861,52131085
4670,209034921
4677,46135750
10825,26152301
597,158884195
8792,307792517
7951,26452000
6750,60464179
614,271814504
2668,189898028
4722,306759812
12919,244596513
2683,337164027
8828,97508632
6794,110296654
10895,318182789
8850,28208896
6598,1888535
679,89992705
10920,80796732
4778,282779722
500,163476545
4790,285486415
8888,168742623
10939,51103613
705,208568161
9675,228992429
12996,104695024
6858,237785376
12067,314903844
10967,232534626
13018,275182971
10971,119984961
732,298206428
4830,201669318
8939,352968813
6026,387459938
6897,334447009
13042,392814220
13043,380191344
8952,91799230
7978,341942395
4864,232373708
8662,116998182
4875,78134435
8984,112501512
8990,354956002
8996,204306225
11046,146690536
2856,282564672
11063,113588889
9017,134241000
4927,211171296
836,12227282
2886,451358
11081,79857054
6986,378303671
7001,212197124
4582,71985415
2929,179154372
7030,255749722
887,355434012
2936,101706128
7033,292867456
9023,129382192
9086,74641366
10732,273689920
5002,393642172
2959,332550385
152,394765677
930,93926730
7076,54959734
944,110654411
951,38850569
3000,110716277
953,166208832
3005,159194817
5055,293651924
9155,367256007
5065,187922462
4599,398989681
9164,218731702
3027,140317371
5077,322550392
11224,51785162
5967,290839641
13284,180233940
997,347382401
7143,210028911
8700,91923568
5287,81740784
9205,166834692
3064,134058902
3067,269961649
13308,296004566
9220,253176955
1029
