category,item
2,0
3,0
6,152877071
8,344130383
9,318404253
10,0
11,221933088
12,273078128
13,0
15,0
16,82595008
17,0
18,0
19,0
21,353910724
23,0
24,250847704
25,0
28,213317594
29,0
30,0
32,0
34,314124990
35,61693057
38,0
40,0
43,375573891
46,0
47,130931113
49,0
52,0
53,0
54,0
56,55939918
57,0
58,0
59,0
62,0
65,0
66,254323841
67,283579660
68,0
69,0
72,0
73,0
75,0
77,55819056
78,0
80,350298366
81,0
82,61549576
83,0
85,314237824
86,0
89,0
90,0
91,0
93,170124953
94,32023428
96,14634982
97,0
98,126872851
100,0
101,0
102,0
107,397520012
108,331207597
109,0
110,127557780
111,235314979
112,0
114,241148218
115,153386100
116,403604019
118,55090355
120,215036867
121,0
122,0
123,0
125,0
126,143865657
127,0
129,0
130,0
131,0
132,0
134,0
135,0
137,0
138,300170880
139,0
140,0
142,0
145,291102266
146,0
147,0
150,385466119
151,0
152,394765677
155,112944103
157,110360067
158,240365505
159,0
160,0
163,0
164,268833209
165,0
166,0
169,205387286
170,62339752
171,0
172,376326220
174,0
175,0
176,215559080
177,0
178,0
184,0
189,367120858
192,221151464
194,0
195,0
196,0
197,0
198,174440843
199,0
200,0
201,399797373
202,247656485
205,223715207
206,382875801
208,251765656
209,0
212,0
214,0
215,181415042
216,0
219,311990689
220,303543152
223,260121822
227,0
230,18273129
231,379192835
232,213434038
233,67611242
234,328168933
235,0
237,0
239,24197604
240,265501625
242,312140640
243,112656554
244,0
245,0
247,0
248,0
249,0
254,135836608
255,0
256,0
257,329178939
258,0
259,0
260,0
261,141702044
263,0
264,0
265,2884182
270,112037332
271,126839355
272,0
274,0
276,0
277,0
279,186163395
280,65347713
281,357730334
284,114496928
285,0
288,341410335
289,48418426
290,145199582
291,43440784
292,339969219
293,0
296,135134525
297,101746344
298,7511360
299,0
300,254713249
301,0
305,0
306,0
308,0
309,168341291
316,153127399
318,176589397
321,0
322,0
324,0
325,0
326,0
327,0
328,0
329,109916435
331,0
332,17868801
335,215940647
336,198048074
337,134128500
338,189885161
339,0
340,178823466
343,0
344,230001144
345,0
346,0
347,17767655
350,280475160
351,0
354,242345506
355,0
356,0
362,112307439
363,317140738
364,0
371,322408116
372,0
374,0
377,0
378,0
382,0
383,0
384,179754145
387,0
388,289480747
389,35459612
390,249013220
391,0
392,0
393,0
394,0
395,0
396,0
397,258469674
398,0
400,0
402,227999491
404,46657664
406,0
407,0
409,0
410,71853969
413,191338563
414,315405184
416,342541025
417,4216879
418,367634656
420,123761377
421,0
422,0
424,0
426,0
427,0
428,0
429,119077984
432,181251120
433,0
434,6508512
435,119081753
436,400885092
437,186784052
438,300991619
439,0
440,0
441,0
442,251375771
443,0
444,333331694
446,227532037
447,325284512
448,0
449,331760045
450,378505115
451,8779008
452,0
453,0
454,365376275
456,0
457,0
458,0
460,256941976
461,0
463,0
464,0
465,0
466,0
467,265253786
470,127640449
472,53782384
476,0
477,0
479,51671675
480,0
481,0
482,0
483,216412417
484,120377117
488,97565695
489,0
491,0
492,193011829
493,14886593
494,87476794
496,0
497,305558906
498,34523817
499,0
500,163476545
501,397045026
503,0
504,0
506,41431133
507,180073429
508,66875804
509,0
512,20715284
513,0
514,0
515,87379652
516,303171942
519,339588302
520,0
522,339976764
524,80173705
526,0
527,129523436
528,365381427
529,0
531,0
533,0
534,0
535,29107961
536,0
537,0
538,0
539,152697378
540,0
541,0
544,115806960
545,0
546,0
547,267385116
548,0
549,0
550,0
551,217062061
552,44577154
554,0
556,247972973
558,0
560,21026713
563,0
564,247434242
566,18239662
568,314108185
570,0
572,17872053
573,0
574,316559490
576,0
577,0
581,152641832
582,123101850
583,88469396
584,0
585,0
586,152114528
590,322045534
591,0
594,0
597,158884195
599,277289243
600,139878918
602,0
603,253794800
604,396324073
606,11652164
607,76125245
608,0
612,373761570
614,271814504
615,262662606
617,0
618,110457659
620,0
622,0
623,101392339
625,0
626,49569795
627,0
629,0
630,107494377
632,273365399
633,3448040
634,163222539
635,0
636,0
637,220348122
638,0
641,0
642,227965467
645,0
646,0
650,0
651,0
653,0
656,0
657,306501360
659,0
660,0
661,389051616
662,0
663,0
668,0
669,13844834
672,0
673,0
674,110284250
675,278008193
676,0
677,27367610
678,0
679,89992705
682,0
684,0
685,0
686,155632985
687,0
689,44887872
692,245272065
694,0
695,0
696,0
697,4543033
700,0
701,0
703,0
705,208568161
706,0
709,0
710,0
711,0
712,185866724
713,243905720
715,0
716,0
718,14976320
719,0
720,0
721,53865963
722,5110234
725,127702508
727,0
728,143379169
730,286920744
732,298206428
733,259242709
734,0
737,0
738,343630988
740,192613369
741,0
742,0
743,0
748,0
750,0
753,0
756,320717408
758,200529455
761,0
762,0
765,96876930
767,211360224
768,317148744
769,241454254
770,0
772,311465863
774,0
778,0
780,0
781,400235189
782,15351959
783,269556009
784,227270144
786,0
789,393763362
790,396884811
791,208979658
792,10590788
793,0
794,0
795,0
797,0
798,0
799,139482628
801,0
803,280389684
804,115529696
805,103402379
807,47464751
808,79913669
810,0
811,193636549
813,0
814,286501101
818,220284375
819,74370397
820,0
824,0
825,203773857
826,0
829,383796670
830,0
831,109177435
832,0
834,0
835,0
836,12227282
838,135925998
839,0
840,0
841,311933016
843,0
844,115843024
845,0
846,0
848,0
849,344068897
850,0
851,0
852,0
853,155682205
855,95219064
856,104804966
857,0
860,0
863,130118927
864,0
865,52570363
866,359185822
874,13435395
875,0
878,398211196
879,89313832
881,242911733
883,298311816
884,0
885,324063294
886,234484529
887,355434012
888,399776992
889,253363540
890,0
891,0
892,378489281
893,379632916
894,192054680
895,19625257
896,0
897,0
900,297404570
903,0
904,0
905,386480668
906,0
907,369896448
909,236493426
910,243028022
912,2680684
914,0
915,0
916,0
920,0
921,187824476
922,139199282
924,95422468
929,0
930,93926730
931,0
933,0
934,0
937,0
938,0
939,81988887
940,127477520
944,110654411
946,0
948,0
949,0
951,38850569
952,0
953,166208832
956,0
957,0
959,0
961,0
962,0
963,82471171
966,0
969,0
970,281804240
971,0
972,208475091
975,0
976,149208297
978,189453138
979,0
981,0
982,0
983,174462856
984,0
987,10962501
988,0
989,261465528
991,0
993,0
994,325804663
996,161964720
997,347382401
1002,110766276
1005,144290891
1008,0
1010,202457538
1013,335443695
1014,207448001
1016,194023535
1019,0
1021,0
1022,0
1026,128493096
1029,60121083
1031,0
1032,17741204
1033,48432177
1034,67262137
1035,0
1036,0
1037,218402609
1038,0
1039,159011782
1040,197005930
1041,0
1043,166932722
1048,148842946
1049,0
1050,0
1053,0
1056,0
1058,0
1059,265090679
1060,0
1061,0
1062,230386242
1064,0
1065,143796017
1068,0
1071,0
1075,0
1077,56390692
1078,211435422
1079,342296993
1080,122506284
1081,329626411
1083,367487634
1084,110471612
1085,0
1087,275558606
1089,0
1090,0
1092,0
1093,0
1094,0
1095,0
1096,318610734
1098,143730457
1099,0
1101,372144417
1102,390536004
1103,0
1105,0
1106,0
1107,0
1109,354591591
1110,118765997
1113,0
1114,85880778
1116,274210230
1117,0
1119,332052824
1120,13332
1121,184777890
1122,0
1123,0
1124,119569833
1126,108736076
1129,0
1130,0
1132,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,232339299
1142,0
1143,311819720
1144,149715755
1146,0
1147,0
1149,257219872
1150,145250890
1152,189966273
1155,41092994
1157,371453571
1159,222207100
1160,0
1162,0
1163,388312102
1166,389166167
1167,0
1169,70047105
1170,315625680
1171,0
1173,288042914
1175,0
1176,0
1177,0
1180,225242500
1182,0
1183,2615976
1185,90426505
1186,0
1190,306125904
1191,0
1193,0
1194,81725089
1198,323170370
1199,237928521
1203,0
1204,374225330
1205,0
1207,316802662
1209,0
1212,0
1213,267836704
1215,21466937
1219,0
1220,0
1222,0
1223,0
1224,233108180
1227,365085409
1229,0
1230,368761294
1232,0
1233,16528960
1234,379173099
1238,314319367
1240,0
1242,218825371
1243,0
1247,0
1249,57209329
1250,267621012
1252,338940685
1253,214483352
1254,131582790
1256,0
1257,113922995
1258,0
1259,0
1260,92566968
1267,211936738
1268,0
1269,86322416
1271,0
1272,0
1273,0
1274,368515125
1276,0
1277,0
1278,0
1279,293528707
1280,0
1281,180838962
1282,0
1286,45784584
1287,377902500
1288,224004520
1289,0
1293,242538145
1294,225609938
1297,0
1298,0
1300,398830720
1301,135457252
1302,0
1303,294700331
1304,389014407
1305,141536144
1308,164727811
1310,233005080
1313,0
1314,0
1315,279040299
1316,36682158
1317,47444090
1318,0
1323,0
1324,60732687
1325,0
1326,193886954
1329,249515191
1333,0
1334,237025430
1335,0
1336,180492797
1337,289899990
1338,0
1340,0
1341,0
1342,389710052
1343,0
1344,223578741
1345,0
1346,394728533
1347,89736198
1349,216944418
1350,57753567
1351,0
1352,0
1353,16951431
1354,90954431
1356,28110096
1357,0
1361,85045389
1362,128955544
1364,0
1365,0
1366,6781632
1367,0
1368,0
1370,213799573
1371,0
1372,0
1375,0
1377,42145850
1379,0
1381,0
1382,321038804
1383,0
1384,0
1385,216445321
1387,0
1390,0
1391,0
1392,202530086
1393,192546035
1394,70537016
1395,0
1396,366906584
1398,0
1400,0
1401,266763956
1402,94269440
1403,0
1404,264585920
1405,44181367
1406,0
1407,165058433
1408,42460847
1409,0
1411,127424279
1412,0
1413,0
1414,0
1419,0
1420,5527236
1421,76567793
1422,0
1423,0
1427,63601304
1429,68925296
1430,185246324
1431,259644701
1433,0
1434,0
1435,0
1436,0
1439,152093122
1441,0
1442,126480909
1444,0
1447,357078092
1450,110288098
1451,383718369
1452,126325403
1453,67424674
1454,0
1455,64416864
1456,167579238
1460,0
1462,150802509
1463,0
1466,341694883
1467,0
1471,200373024
1472,92339450
1473,213887738
1474,0
1475,0
1477,230770464
1478,0
1479,0
1480,0
1482,0
1483,280122104
1485,296992942
1486,378050048
1488,295158610
1489,396045241
1491,115667920
1495,0
1497,0
1498,0
1501,171500776
1502,0
1503,0
1504,158883239
1505,61204804
1507,38865637
1508,267049823
1509,15239980
1510,0
1512,0
1513,134166952
1514,278333244
1516,404558088
1518,273560884
1519,234955287
1521,0
1522,0
1524,304427287
1527,237465344
1528,0
1530,232501955
1531,342726418
1535,0
1537,30034781
1538,0
1539,377786706
1543,0
1544,0
1545,0
1547,0
1548,0
1549,149640602
1550,239193132
1551,278186577
1552,0
1553,0
1554,168988171
1555,272657526
1556,346393121
1559,148636280
1560,78190962
1561,390574050
1562,0
1563,0
1564,229971458
1567,0
1568,152964865
1570,0
1571,149998445
1572,100727251
1573,0
1574,395382019
1576,62525329
1578,0
1579,0
1580,13587424
1582,185547317
1584,83598180
1585,0
1588,114405412
1589,0
1591,0
1592,51932081
1594,0
1597,212125890
1599,334399604
1600,0
1601,339233888
1602,0
1604,205381633
1606,135963306
1609,0
1610,110817336
1611,0
1613,0
1615,0
1616,0
1618,0
1620,56494960
1622,0
1624,143815839
1625,200886680
1626,0
1630,22065244
1632,134949264
1633,99708691
1635,112550601
1637,0
1638,166957122
1640,316032462
1641,55108060
1642,11561674
1643,11990764
1645,0
1648,70176956
1649,115720770
1650,217196992
1652,0
1653,0
1654,283806537
1655,0
1656,197254123
1658,0
1662,0
1663,167271123
1664,247931754
1665,0
1666,112997774
1670,0
1671,0
1672,212300838
1674,280066620
1675,55135025
1678,241647637
1679,311349390
1680,0
1681,0
1682,0
1683,0
1685,0
1686,394044247
1687,0
1689,0
1690,0
1692,0
1693,0
1694,0
1696,19796481
1698,0
1703,80125581
1706,0
1708,0
1709,0
1710,386112400
1712,0
1713,0
1714,0
1716,0
1718,348418481
1720,314612272
1722,147197862
1723,341889939
1724,213576309
1725,380022481
1726,184120387
1727,399671920
1728,243363146
1730,393089525
1731,0
1733,355532724
1735,39038674
1736,2839852
1738,0
1741,256010025
1742,8395042
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,64082336
1753,0
1755,0
1756,0
1757,237943036
1758,96991158
1759,0
1760,0
1761,0
1762,323796845
1765,0
1766,249385024
1767,44657426
1769,0
1770,126779797
1773,10902990
1775,0
1777,0
1778,94799749
1779,8909824
1780,0
1782,0
1784,337584714
1785,0
1787,41841009
1788,0
1789,0
1790,348283844
1791,0
1792,0
1793,194054793
1794,389589693
1795,0
1796,0
1797,291531658
1799,22441914
1800,356457216
1801,0
1803,0
1804,0
1805,399214136
1806,58504538
1807,240447523
1808,0
1809,0
1810,48145850
1811,0
1815,287606841
1816,0
1817,0
1818,0
1819,0
1820,220434192
1821,309579368
1822,220982432
1823,0
1824,0
1827,0
1829,605967
1831,0
1832,0
1834,293442464
1835,254205320
1837,0
1838,66399540
1842,0
1843,211977442
1845,0
1851,301549515
1852,262009267
1854,843908
1855,0
1858,0
1860,114309122
1861,120882361
1862,216116954
1863,110792392
1864,0
1865,0
1867,0
1868,0
1869,346632195
1870,307146225
1871,0
1872,81915830
1874,0
1876,371235505
1877,109454996
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1886,107545856
1887,0
1888,0
1890,205539726
1891,183467949
1892,75567489
1895,86882589
1897,0
1898,22338831
1900,85380203
1901,0
1902,0
1904,335847314
1905,0
1906,0
1908,325021994
1909,0
1910,182554436
1911,69787829
1912,0
1913,0
1914,0
1916,333922980
1918,0
1919,0
1921,0
1922,0
1925,56810880
1928,303548680
1930,382324288
1931,0
1932,0
1933,0
1934,0
1936,150396597
1937,28654973
1941,329733640
1942,0
1943,122327155
1944,356260934
1945,0
1946,0
1949,0
1950,0
1953,308050549
1954,343921948
1955,0
1956,123967526
1958,137117378
1959,0
1960,249039816
1961,302069810
1962,4689413
1963,132683628
1964,21095045
1965,151858918
1966,0
1968,325388161
1969,302917479
1970,100806987
1971,0
1975,0
1978,0
1980,315634521
1981,0
1982,0
1983,0
1985,134397800
1987,0
1990,168522312
1992,0
1993,59693051
1996,381821169
1997,0
2000,183764403
2001,369162442
2002,0
2004,0
2006,0
2007,65185577
2009,0
2010,263750013
2012,0
2014,862103
2015,246569197
2016,249268613
2021,67615220
2022,170479905
2023,0
2024,179197699
2026,236281802
2027,0
2028,0
2029,398145146
2030,402811518
2032,0
2034,379135711
2035,0
2040,148638608
2042,391826123
2043,196140223
2044,0
2046,1720290
2047,330101929
2048,15301740
2050,49508496
2051,249755703
2052,315152531
2053,279059703
2054,335056434
2055,0
2056,0
2057,0
2058,0
2059,0
2061,0
2062,271355633
2063,0
2064,105061578
2065,0
2067,0
2069,0
2070,0
2071,372414233
2073,0
2076,23307270
2077,0
2079,1288220
2082,0
2085,110291751
2087,64177094
2088,390235700
2089,126416596
2090,326477816
2091,125577379
2092,154000998
2093,49525506
2094,0
2095,0
2097,325030739
2100,0
2101,0
2102,0
2103,67952571
2104,0
2105,0
2107,0
2109,0
2112,0
2114,279028580
2117,350105739
2119,0
2120,15992495
2121,157224451
2122,111161394
2128,49590993
2129,165403814
2130,302670723
2131,0
2132,52168200
2133,89581496
2134,304210108
2135,0
2136,0
2137,110825901
2139,0
2142,0
2144,0
2146,0
2147,107548734
2149,0
2150,0
2151,0
2153,368713753
2154,0
2156,0
2157,0
2158,125276567
2159,40617575
2160,286630681
2162,0
2163,176117601
2164,352137149
2165,0
2167,0
2168,0
2170,93790225
2171,27000806
2172,0
2173,0
2174,0
2175,330653527
2177,291327565
2178,0
2180,0
2181,82122410
2182,0
2183,0
2184,0
2185,158922079
2186,0
2189,0
2190,0
2191,0
2192,0
2195,0
2196,0
2197,333820416
2198,0
2199,29045408
2200,0
2201,0
2202,50794034
2203,0
2204,243249846
2205,0
2207,0
2209,0
2211,377546428
2213,301681883
2214,0
2216,0
2218,65734338
2221,395744693
2224,0
2225,161753864
2226,129654802
2227,0
2229,84866341
2230,0
2231,393816114
2232,0
2233,0
2235,0
2236,337810689
2238,383885440
2239,0
2240,0
2241,122413995
2245,0
2247,16548284
2249,216865664
2250,0
2251,145886049
2252,157984068
2254,328243879
2255,324575968
2256,0
2257,242545024
