date,transaction_vol
2014-11-28 08,4
2014-11-28 09,4
2014-11-30 05,1
2014-12-07 22,1
2014-12-07 23,11
2014-12-07 20,8
2014-11-28 07,3
2014-11-28 00,5
2014-11-28 01,1
2014-11-28 02,0
2014-11-28 03,0
2014-12-16 08,5
2014-12-16 09,1
2014-12-16 02,2
2014-12-16 03,0
2014-12-16 00,4
2014-12-16 01,1
2014-12-16 06,0
2014-12-16 07,4
2014-12-16 04,0
2014-12-16 05,1
2014-12-15 21,3
2014-12-15 20,3
2014-12-15 23,5
2014-12-15 22,10
2014-12-12 08,8
2014-12-12 09,6
2014-11-26 19,7
2014-11-26 18,2
2014-11-24 10,3
2014-12-04 12,11
2014-12-04 13,10
2014-12-04 10,8
2014-12-04 11,7
2014-12-04 16,11
2014-12-04 17,6
2014-12-04 14,8
2014-12-04 15,3
2014-11-20 22,10
2014-12-04 18,11
2014-12-04 19,8
2014-11-20 23,7
2014-12-01 06,0
2014-12-01 07,0
2014-12-01 04,0
2014-12-01 05,1
2014-12-01 02,2
2014-11-20 20,8
2014-12-01 00,6
2014-12-01 01,0
2014-12-16,2
2014-12-02 21,7
2014-12-02 20,11
2014-12-01 08,1
2014-12-01 09,7
2014-12-07 21,3
2014-12-13 09,2
2014-12-13 08,1
2014-12-13 05,1
2014-12-13 04,0
2014-12-13 07,2
2014-12-13 06,1
2014-12-13 01,3
2014-12-13 00,5
2014-12-13 03,0
2014-12-13 02,4
2014-11-24 08,1
2014-11-24 09,1
2014-11-30 21,10
2014-11-30 20,4
2014-11-24 00,1
2014-11-24 01,1
2014-11-24 02,2
2014-11-24 03,0
2014-11-24 04,0
2014-11-24 05,2
2014-11-24 06,4
2014-11-24 07,5
2014-11-26 00,3
2014-12-04 02,0
2014-11-23 05,1
2014-11-23 04,1
2014-11-23 07,3
2014-12-10 09,7
2014-11-23 01,2
2014-11-23 00,7
2014-11-23 03,0
2014-11-23 02,2
2014-11-23 09,3
2014-11-23 08,2
2014-11-25 03,1
2014-12-05 19,8
2014-12-05 18,8
2014-11-30 04,0
2014-12-05 11,9
2014-12-05 10,8
2014-12-05 13,2
2014-12-05 12,13
2014-12-05 15,10
2014-12-05 14,12
2014-12-05 17,7
2014-12-05 16,6
2014-11-19 00,5
2014-11-19 01,1
2014-11-19 02,1
2014-11-19 03,0
2014-11-19 04,0
2014-11-19 05,2
2014-11-19 06,0
2014-11-19 07,2
2014-11-19 08,4
2014-11-19 09,13
2014-11-25 02,1
2014-11-30 03,1
2014-11-18 11,1
2014-11-25 00,1
2014-11-18,1
2014-11-19,1
2014-12-14 00,1
2014-12-14 01,5
2014-12-14 02,0
2014-12-14 03,0
2014-12-14 04,0
2014-12-14 05,0
2014-12-14 06,2
2014-12-14 07,2
2014-12-14 08,1
2014-12-14 09,5
2014-12-18,3
2014-12-11,2
2014-12-10,2
2014-12-13,1
2014-12-12,2
2014-12-15,1
2014-12-14,1
2014-12-17,1
2014-11-20 21,10
2014-12-18 16,5
2014-11-19 13,10
2014-11-19 12,10
2014-12-12 20,1
2014-12-12 21,22
2014-12-12 22,21
2014-12-12 23,1
2014-12-18 15,11
2014-12-11 08,3
2014-12-11 03,1
2014-12-11 02,1
2014-12-11 01,1
2014-12-11 00,6
2014-12-11 07,0
2014-12-11 06,0
2014-12-11 05,0
2014-12-11 04,0
2014-12-10 00,1
2014-12-10 01,0
2014-11-22 20,11
2014-12-10 02,2
2014-11-22 22,14
2014-11-22 23,9
2014-11-27 08,2
2014-11-19 18,2
2014-12-10 22,9
2014-12-10 23,7
2014-12-10 20,2
2014-12-10 21,6
2014-11-29 09,9
2014-11-27 23,8
2014-11-27 22,16
2014-12-06 18,11
2014-12-06 19,4
2014-11-21 01,0
2014-11-21 00,4
2014-11-21 07,1
2014-11-27 21,7
2014-11-21 05,1
2014-11-29 15,10
2014-12-06 10,9
2014-12-06 11,1
2014-12-06 12,4
2014-12-06 13,1
2014-12-06 14,6
2014-12-06 15,5
2014-12-06 16,10
2014-12-06 17,5
2014-11-29 17,8
2014-12-03 08,3
2014-12-03 09,9
2014-12-03 04,2
2014-12-03 05,0
2014-12-03 06,2
2014-12-03 07,3
2014-12-03 00,2
2014-12-03 01,0
2014-12-03 02,0
2014-12-03 03,0
2014-12-09 04,0
2014-11-30 10,5
2014-12-07 17,9
2014-12-07 16,11
2014-12-07 15,8
2014-12-07 14,8
2014-12-07 13,4
2014-12-07 12,2
2014-12-07 11,6
2014-12-07 10,9
2014-12-07 19,9
2014-12-07 18,3
2014-11-26 02,0
2014-12-14 16,5
2014-12-08 21,4
2014-12-11 09,1
2014-12-08 20,1
2014-11-26 06,0
2014-12-14 12,5
2014-11-27 09,2
2014-12-04 20,1
2014-12-09 08,3
2014-11-27 01,1
2014-11-27 00,2
2014-11-27 03,0
2014-12-14 10,4
2014-11-27 05,0
2014-11-27 04,0
2014-11-27 07,3
2014-11-27 06,2
2014-12-08 05,0
2014-12-08 04,0
2014-12-08 07,1
2014-12-08 06,2
2014-12-03 14,6
2014-12-08 00,12
2014-12-08 03,0
2014-12-08 02,3
2014-12-08 09,10
2014-12-08 08,1
2014-12-09 05,2
2014-11-21 06,0
2014-12-09 00,3
2014-12-09 01,1
2014-11-28 04,0
2014-12-18 22,6
2014-12-18 23,2
2014-12-18 20,3
2014-12-18 21,9
2014-11-20 05,0
2014-11-26 14,11
2014-12-13 18,5
2014-12-13 19,4
2014-12-13 16,3
2014-12-13 17,4
2014-12-13 14,13
2014-12-13 15,5
2014-12-13 12,6
2014-12-13 13,4
2014-12-13 10,4
2014-12-13 11,4
2014-12-17 01,2
2014-12-17 00,5
2014-12-17 03,1
2014-12-17 02,1
2014-12-17 05,1
2014-12-17 04,2
2014-12-17 07,0
2014-12-17 06,0
2014-12-17 09,6
2014-12-17 08,7
2014-12-12 15,1
2014-12-12 14,3
2014-12-12 17,4
2014-12-12 16,14
2014-12-12 11,13
2014-12-12 10,9
2014-12-12 13,8
2014-12-12 12,1
2014-12-12 19,2
2014-12-12 18,13
2014-11-27 02,1
2014-11-23 16,8
2014-11-23 17,6
2014-11-23 14,1
2014-11-23 15,4
2014-11-22 19,1
2014-11-23 13,2
2014-11-23 10,13
2014-11-23 11,7
2014-11-22 15,3
2014-11-22 14,10
2014-11-22 17,8
2014-11-22 16,6
2014-11-22 11,8
2014-12-04 22,7
2014-11-22 13,7
2014-11-22 18,7
2014-11-28 13,6
2014-11-25 05,0
2014-11-28 12,7
2014-11-20 06,2
2014-11-28 10,4
2014-11-20 00,9
2014-11-20 01,0
2014-11-28 05,1
2014-12-05 08,1
2014-12-05 09,2
2014-11-20 02,0
2014-12-05 02,0
2014-12-04 23,5
2014-12-05 00,3
2014-12-05 01,1
2014-12-05 06,3
2014-12-05 07,5
2014-12-05 04,0
2014-11-22 10,1
2014-12-06 21,1
2014-12-06 20,4
2014-12-06 23,1
2014-11-29 08,4
2014-12-04 21,10
2014-11-29 03,1
2014-11-29 02,2
2014-11-29 01,1
2014-11-23 19,11
2014-11-29 07,2
2014-11-29 06,2
2014-11-29 05,0
2014-11-29 04,2
2014-11-28 18,7
2014-11-20 03,1
2014-11-26 20,6
2014-12-16 15,1
2014-11-26 22,12
2014-11-26 23,5
2014-11-20 09,2
2014-11-25 04,0
2014-12-09 20,4
2014-12-09 21,3
2014-12-09 22,10
2014-12-09 23,16
2014-11-20 19,2
2014-11-20 18,6
2014-11-28 22,10
2014-11-28 23,8
2014-11-28 20,4
2014-11-28 21,6
2014-11-20 13,4
2014-11-20 12,9
2014-11-20 11,3
2014-11-20 10,16
2014-11-20 17,2
2014-11-20 16,9
2014-11-20 15,7
2014-11-20 14,3
2014-12-02 23,13
2014-11-26 05,0
2014-12-02 22,5
2014-11-22 21,11
2014-11-24 22,3
2014-11-24 23,1
2014-11-24 20,8
2014-11-24 21,9
2014-11-18 09,16
2014-11-18 08,4
2014-11-18 07,5
2014-11-18 06,9
2014-11-18 05,1
2014-11-18 04,0
2014-11-18 03,0
2014-11-18 02,1
2014-11-18 01,0
2014-11-18 00,7
2014-12-11 14,8
2014-12-11 15,10
2014-12-11 16,1
2014-12-11 17,1
2014-12-11 10,1
2014-12-11 11,9
2014-12-11 12,1
2014-12-11 13,7
2014-12-11 18,3
2014-12-11 19,9
2014-11-30 23,4
2014-12-08 22,7
2014-11-30 22,13
2014-11-25 07,1
2014-11-25 06,0
2014-11-30 07,2
2014-11-30 06,0
2014-11-30 01,1
2014-11-30 00,12
2014-11-25 01,0
2014-11-30 02,1
2014-11-30 09,1
2014-11-30 08,5
2014-11-25 09,1
2014-11-25 08,2
2014-12-10 13,7
2014-12-10 12,9
2014-12-10 11,12
2014-12-10 10,11
2014-12-10 17,6
2014-12-10 16,4
2014-12-10 15,2
2014-12-10 14,2
2014-12-10 19,2
2014-12-10 18,6
2014-11-21 18,5
2014-11-21 19,16
2014-11-21 14,1
2014-11-21 15,1
2014-11-21 16,7
2014-11-21 17,8
2014-11-21 10,19
2014-11-21 11,1
2014-11-21 12,8
2014-11-21 13,13
2014-11-20 04,0
2014-12-05 03,0
2014-11-27 18,9
2014-12-07 00,3
2014-12-07 01,1
2014-12-07 02,0
2014-12-07 03,0
2014-12-07 04,0
2014-12-07 05,0
2014-12-07 06,0
2014-12-07 07,1
2014-12-07 08,2
2014-12-07 09,6
2014-12-05 05,1
2014-12-16 20,13
2014-12-16 21,6
2014-12-16 22,5
2014-12-16 23,2
2014-12-15 09,3
2014-12-15 08,3
2014-12-15 07,0
2014-12-15 06,2
2014-12-15 05,0
2014-12-15 04,1
2014-12-15 03,2
2014-12-15 02,1
2014-12-15 01,1
2014-12-15 00,2
2014-12-14 17,2
2014-12-06 22,2
2014-11-19 22,17
2014-11-19 23,4
2014-11-19 20,10
2014-11-19 21,14
2014-11-21 03,3
2014-11-30,1
2014-11-27 19,6
2014-11-21 02,1
2014-11-27 12,13
2014-11-27 13,1
2014-11-27 10,4
2014-11-27 11,8
2014-11-27 16,7
2014-11-27 17,1
2014-11-27 14,6
2014-11-27 15,2
2014-11-26 11,5
2014-12-08 17,1
2014-12-08 14,5
2014-12-08 15,6
2014-12-09 19,8
2014-12-08 13,3
2014-11-26 17,2
2014-11-26 16,1
2014-12-09 15,3
2014-12-14 23,6
2014-12-09 17,6
2014-12-14 21,10
2014-12-09 11,1
2014-12-09 10,9
2014-12-09 13,6
2014-12-09 12,8
2014-12-08 16,9
2014-11-29 00,7
2014-11-26 10,8
2014-11-21 04,3
2014-11-26 13,5
2014-11-26 12,10
2014-12-08 12,10
2014-11-21 09,3
2014-12-09 18,1
2014-12-18 19,10
2014-11-21 08,2
2014-12-08 10,6
2014-12-18 13,5
2014-12-18 12,8
2014-12-18 11,8
2014-12-08 11,2
2014-12-18 17,5
2014-12-01 21,7
2014-12-01 22,12
2014-12-18 14,7
2014-12-14 22,5
2014-12-02 09,5
2014-12-02 08,5
2014-12-09 14,4
2014-12-02 03,1
2014-12-02 02,1
2014-12-02 01,1
2014-12-02 00,4
2014-12-02 07,3
2014-12-14 20,3
2014-12-02 05,0
2014-12-02 04,1
2014-12-09 16,4
2014-12-13 23,2
2014-12-13 22,4
2014-12-13 21,9
2014-12-13 20,4
2014-12-08 18,4
2014-11-26 21,2
2014-11-26 01,1
2014-12-08 19,1
2014-12-17 12,8
2014-11-22 12,7
2014-12-17 10,3
2014-12-17 11,17
2014-12-03 22,4
2014-12-17 17,3
2014-12-03 20,15
2014-12-17 15,7
2014-12-17 18,11
2014-12-17 19,11
2014-12-12 06,7
2014-12-12 07,8
2014-12-12 04,5
2014-12-12 05,3
2014-12-12 02,4
